City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,48.22,87,100,2.3,GB,1730763178
1,tuy hoa,13.0833,109.3,75.79,92,87,3.11,VN,1730763179
2,igarka,67.4667,86.5833,17.87,95,67,11.23,RU,1730763180
3,adamstown,-25.066,-130.1015,70.38,80,97,20.56,PN,1730763086
4,lihue,21.9789,-159.3672,83.79,71,20,12.66,US,1730763182
5,grand falls-windsor,48.9332,-55.6649,27.72,76,32,6.29,CA,1730763183
6,bethel,41.3712,-73.414,53.69,73,75,4.61,US,1730763150
7,ringkobing,56.0901,8.244,48.18,100,100,2.3,DK,1730763185
8,west island,-12.1568,96.8225,78.78,89,40,16.11,CC,1730763173
9,esil,51.9556,66.4042,29.25,65,54,7.54,KZ,1730763188
10,sur,22.5667,59.5289,80.85,51,2,7.2,OM,1730763189
11,port elizabeth,-33.918,25.5701,54.32,99,75,9.22,ZA,1730763115
12,port mathurin,-19.6833,63.4167,74.68,79,74,12.73,MU,1730763191
13,carnarvon,-24.8667,113.6333,69.39,67,1,18.68,AU,1730763192
14,kodiak,57.79,-152.4072,38.71,60,100,8.05,US,1730763193
15,edinburgh of the seven seas,-37.0676,-12.3116,56.77,76,80,3.87,SH,1730763194
16,port-aux-francais,-49.35,70.2167,42.53,91,99,37.51,TF,1730763128
17,olonkinbyen,70.9221,-8.7187,29.91,83,100,25.84,SJ,1730763196
18,saint-philippe,-21.3585,55.7679,73.2,83,39,7.99,RE,1730763198
19,daru,-9.0763,143.2092,82.11,82,100,12.59,PG,1730763199
20,dudinka,69.4058,86.1778,19.78,90,55,17.65,RU,1730763200
21,trondheim,63.4305,10.3951,46.99,92,100,1.01,NO,1730763201
22,puerto natales,-51.7236,-72.4875,41.04,74,68,10.67,CL,1730763202
23,kupino,54.3663,77.2981,29.32,74,1,13.4,RU,1730763204
24,wailua homesteads,22.0669,-159.378,83.19,77,20,12.66,US,1730763206
25,kegeyli shahar,42.7767,59.6078,46.11,52,100,8.75,UZ,1730763207
26,zholymbet,51.7433,71.7122,28.4,76,3,7.81,KZ,1730763208
27,canoinhas,-26.1772,-50.39,63.25,100,99,2.46,BR,1730763209
28,magadi,12.9667,77.2333,64.31,92,51,6.4,IN,1730763210
29,yellowknife,62.456,-114.3525,28.42,99,75,5.01,CA,1730763131
30,talnakh,69.4865,88.3972,17.69,96,81,9.06,RU,1730763212
31,avarua,-21.2078,-159.775,77.05,83,20,11.5,CK,1730763213
32,pariaman,-0.619,100.12,77.05,79,96,3.83,ID,1730763215
33,ribeira grande,38.5167,-28.7,67.77,72,65,15.01,PT,1730763216
34,goure,13.9835,10.2704,74.53,21,0,9.15,NE,1730763217
35,waitangi,-43.9535,-176.5597,50.85,66,69,17.2,NZ,1730763111
36,mar del plata,-38.0023,-57.5575,61.88,65,0,7.0,AR,1730763219
37,ushuaia,-54.8,-68.3,46.06,66,75,21.85,AR,1730763220
38,tiksi,71.6872,128.8694,-10.97,98,79,5.75,RU,1730763196
39,vadso,70.0744,29.7487,32.16,86,75,14.97,NO,1730763222
40,quelimane,-17.8786,36.8883,78.75,83,20,8.05,MZ,1730763224
41,isafjordur,66.0755,-23.124,35.62,90,100,5.35,IS,1730763225
42,hawaiian paradise park,19.5933,-154.9731,75.9,99,100,10.36,US,1730763183
43,caleta de carquin,-11.0925,-77.6267,65.68,86,51,9.37,PE,1730763227
44,nar'yan-mar,67.6713,53.087,26.6,91,100,7.78,RU,1730763228
45,blackmans bay,-43.0167,147.3167,63.52,53,1,4.0,AU,1730763229
46,papatowai,-46.5619,169.4708,59.72,56,52,10.33,NZ,1730763230
47,kolobrzeg,54.1757,15.5834,40.96,73,0,8.41,PL,1730763231
48,ust'-abakan,53.8525,91.3742,26.51,100,100,0.0,RU,1730763233
49,port alfred,-33.5906,26.891,52.18,97,100,1.01,ZA,1730763234
50,riyadh,24.6877,46.7219,74.93,29,0,7.74,SA,1730763188
51,grytviken,-54.2811,-36.5092,38.16,85,100,14.83,GS,1730763236
52,udachny,66.4167,112.4,0.25,93,98,9.04,RU,1730763161
53,lompoc,34.6391,-120.4579,67.51,52,0,16.11,US,1730763018
54,vilyuchinsk,52.9306,158.4028,23.27,69,40,5.73,RU,1730763239
55,yalihuyuk,37.3008,32.0855,40.15,80,5,3.89,TR,1730763241
56,whitehorse,60.7161,-135.0538,31.1,80,75,4.0,CA,1730763242
57,thompson,55.7435,-97.8558,32.16,93,100,4.61,CA,1730763243
58,holualoa,19.6228,-155.9522,82.26,64,40,5.75,US,1730763244
59,uturoa,-16.7333,-151.4333,79.95,81,91,10.56,PF,1730763245
60,kzyltu,53.6364,72.3414,28.29,77,17,12.39,KZ,1730763247
